state,district,DEI,ASS,UBS,SRS
Delhi,central delhi,0.7476376172236703,0.6404863060465822,0.6429419395042653,0.49539230810992974
Delhi,east delhi,0.8470827883555543,0.4475823786763776,0.5442137492789134,0.3085129106278704
Delhi,new delhi,0.8726785694381108,0.6967469409431324,0.6462688600327611,0.30452678965449287
Delhi,north delhi,0.6856433156180026,0.5876613523795073,0.5665675450985671,0.38279368346643133
Delhi,north east delhi,0.887046161427698,0.25,0.658197422103324,0.25
Delhi,north west delhi,0.7571523719368113,0.3272475532964116,0.6200233141263274,0.5586751598357389
Delhi,shahdara,0.5177039562886456,0.7054282679614596,0.25,0.6979001995743143
Delhi,south delhi,0.6982566190128522,0.3565169562248692,0.6249972615967003,0.5537735086379896
Delhi,south east delhi,0.6904320923291981,0.748748198164024,0.38602748042959695,0.7409479191920827
Delhi,south west delhi,0.7916935110996162,0.4856169233492654,0.5729091031620202,0.33473825284141345
Delhi,west delhi,0.6972126246070741,0.26547682269934,0.552916729631155,0.75
