state,district,DEI,ASS,UBS,SRS
Jharkhand,bokaro,0.8448987775631942,0.5605394424083463,0.5277971929737322,0.30593004610170144
Jharkhand,chatra,0.5241626664342179,0.5893323419552006,0.5276032116253834,0.75
Jharkhand,deoghar,0.4898243248903105,0.5554474081706732,0.353520527531666,0.45319533609632223
Jharkhand,dhanbad,0.788271365924597,0.4073363933351287,0.5584704938235275,0.3097121999524647
Jharkhand,dumka,0.6467332160698319,0.6412640656651405,0.5706547153063053,0.47349153303923885
Jharkhand,east singhbhum,0.8333045604857656,0.48801125253211247,0.75,0.2505493555466649
Jharkhand,garhwa,0.8186902690714899,0.5327945154151493,0.6163188397271528,0.3295680747013912
Jharkhand,giridih,0.5494336158373753,0.25,0.40330131618652115,0.43137507169310874
Jharkhand,godda,0.8725388558762663,0.6353494607917755,0.46219946886653135,0.25877870319566365
Jharkhand,gumla,0.7808348191628488,0.5720495767127618,0.5621446198297744,0.4586896569796747
Jharkhand,hazaribagh,0.7480613642678644,0.5748597824432398,0.4556200498183333,0.32231091446672344
Jharkhand,jamtara,0.6212994060662311,0.6351269861714459,0.3350064334517259,0.39627398363165334
Jharkhand,khunti,0.6262395535298788,0.743191105698863,0.6575332677106924,0.41165136700242233
Jharkhand,koderma,0.5752009092295834,0.6825843354448906,0.4992430801558132,0.30978329170539665
Jharkhand,latehar,0.6673000502834038,0.7202879289954686,0.2966365779636188,0.4974909439738501
Jharkhand,lohardaga,0.7001321105129659,0.7338471716450241,0.6876725608321583,0.3379043580453611
Jharkhand,pakur,0.5960098980921649,0.6070234652178494,0.5389582092330563,0.49576954289901576
Jharkhand,palamu,0.8322404776779259,0.43341276067585444,0.3484975252455512,0.3981983433924523
Jharkhand,ramgarh,0.7755984184967963,0.704468812570987,0.378567796606752,0.3712831751792168
Jharkhand,ranchi,0.8691457490067525,0.3557208177698675,0.6853650088129999,0.25
Jharkhand,sahibganj,0.5584942603216492,0.5476300598339636,0.25,0.527592426012931
Jharkhand,seraikela-kharsawan,0.7870984111722924,0.6449217240612156,0.5742954556558084,0.2824546646038359
Jharkhand,simdega,0.7530851817379969,0.75,0.5941712316956405,0.6087361430510132
Jharkhand,west singhbhum,0.6597788481923447,0.5667804409681159,0.5643543203560633,0.591528841077071
