state,district,DEI,ASS,UBS,SRS
Jammu and Kashmir,doda,0.638421536505386,0.40696294944332906,,0.25
Jammu and Kashmir,shopian,0.5525095820405184,0.4874520897974083,,0.25
Jammu and Kashmir,anantnag,0.8082293727075177,0.323599196933747,0.6287052674966382,0.6532437163997102
Jammu and Kashmir,bandipora,0.7523173655236869,0.75,0.7621550833716058,0.6612822583851885
Jammu and Kashmir,bandipore,0.7193322345419109,0.5551651761270304,0.6867953902220487,0.6584894270716637
Jammu and Kashmir,baramulla,0.8162552809043511,0.3216371600657054,0.7772816396563496,0.5756594022880024
Jammu and Kashmir,budgam,0.8302099911214146,0.4132445093386871,0.6410376657514589,0.5796326618592924
Jammu and Kashmir,doda,0.8432049050639844,0.2662134209405609,0.8955961725221693,0.6048483939007349
Jammu and Kashmir,ganderbal,0.7549304140346942,0.6415100079089858,0.5831336193977164,0.62832921183326
Jammu and Kashmir,jammu,0.8158596323641408,0.25,0.9340492538060248,0.5547585753176436
Jammu and Kashmir,kargil,0.7337433374511805,0.688142605098254,0.5,0.6700101739020548
Jammu and Kashmir,kathua,0.843140126192527,0.39152521749711017,0.761679081555592,0.569477714919505
Jammu and Kashmir,kishtwar,0.7407399185977175,0.5808237512928149,0.9128711874789953,0.5774959878558661
Jammu and Kashmir,kulgam,0.7600575796159654,0.5890217192918416,0.7847098082315722,0.6479026957848761
Jammu and Kashmir,kupwara,0.8203624890823316,0.37512928149905694,0.6324267117772597,0.5662408826360875
Jammu and Kashmir,leh,0.7637073336821157,0.7267901685222364,0.7464493408035924,0.658730259463175
Jammu and Kashmir,poonch,0.7734501718686608,0.4748585508304435,0.655253507052555,0.5655020798353266
Jammu and Kashmir,pulwama,0.7505848630257159,0.5054450325485186,0.7330007852192418,0.6638864986451787
Jammu and Kashmir,rajouri,0.8163025748072826,0.42037780616900894,0.9654949608352902,0.5955108936164815
Jammu and Kashmir,ramban,0.7244385989255264,0.5111942568595242,1.0,0.75
Jammu and Kashmir,reasi,0.778578157150824,0.5152400073006023,0.8097849424383672,0.5715876724347714
Jammu and Kashmir,samba,0.8067092002258114,0.676963557826854,0.8340862858156388,0.5821123944651259
Jammu and Kashmir,shopian,0.8217790316761402,0.6669556488410293,0.6458344755979206,0.5409351317956569
Jammu and Kashmir,srinagar,0.8288072155833646,0.34074040274989353,0.6870621763190324,0.6551555211820803
Jammu and Kashmir,udhampur,0.8411026772745138,0.3854565918354931,0.842920648610961,0.5661404859879153
